crawling 307 leaves | page-limit 90 | concurrency 6 | +search sweep

[49/307 leaves] 5546 products | 244 req (242 pages) | 366s | 15.15 prod/s | 25.2 prod/req | 2 x429 | rate 0.71/s     
[50/307 leaves] 5576 products | 248 req (246 pages) | 371s | 15.01 prod/s | 25.0 prod/req | 2 x429 | rate 0.71/s     
[51/307 leaves] 5588 products | 249 req (247 pages) | 373s | 14.98 prod/s | 24.9 prod/req | 2 x429 | rate 0.71/s     
[52/307 leaves] 5630 products | 250 req (248 pages) | 374s | 15.03 prod/s | 25.0 prod/req | 2 x429 | rate 0.71/s     
[53/307 leaves] 5865 products | 256 req (254 pages) | 383s | 15.32 prod/s | 25.4 prod/req | 2 x429 | rate 0.71/s     
[54/307 leaves] 5904 products | 259 req (256 pages) | 388s | 15.23 prod/s | 25.4 prod/req | 3 x429 | rate 0.57/s     
[55/307 leaves] 6045 products | 262 req (259 pages) | 393s | 15.39 prod/s | 25.6 prod/req | 3 x429 | rate 0.57/s     
[56/307 leaves] 6070 products | 265 req (262 pages) | 398s | 15.26 prod/s | 25.5 prod/req | 3 x429 | rate 0.57/s     
[57/307 leaves] 6150 products | 267 req (264 pages) | 402s | 15.31 prod/s | 25.6 prod/req | 3 x429 | rate 0.57/s     
[58/307 leaves] 6310 products | 271 req (268 pages) | 409s | 15.45 prod/s | 26.1 prod/req | 3 x429 | rate 0.57/s     
[59/307 leaves] 6438 products | 274 req (271 pages) | 414s | 15.56 prod/s | 26.3 prod/req | 3 x429 | rate 0.57/s     
[60/307 leaves] 6614 products | 279 req (276 pages) | 423s | 15.64 prod/s | 26.5 prod/req | 3 x429 | rate 0.57/s     
[61/307 leaves] 6732 products | 282 req (279 pages) | 428s | 15.74 prod/s | 26.7 prod/req | 3 x429 | rate 0.57/s     
[62/307 leaves] 6732 products | 283 req (280 pages) | 430s | 15.67 prod/s | 26.6 prod/req | 3 x429 | rate 0.61/s     
[63/307 leaves] 6784 products | 288 req (285 pages) | 438s | 15.50 prod/s | 26.5 prod/req | 3 x429 | rate 0.61/s     
[64/307 leaves] 6855 products | 291 req (288 pages) | 443s | 15.48 prod/s | 26.6 prod/req | 3 x429 | rate 0.61/s     
[65/307 leaves] 6919 products | 293 req (290 pages) | 446s | 15.51 prod/s | 26.6 prod/req | 3 x429 | rate 0.61/s     
[66/307 leaves] 6929 products | 294 req (291 pages) | 447s | 15.48 prod/s | 26.6 prod/req | 3 x429 | rate 0.61/s     
[67/307 leaves] 7061 products | 298 req (295 pages) | 454s | 15.55 prod/s | 26.7 prod/req | 3 x429 | rate 0.61/s     
[68/307 leaves] 7177 products | 302 req (299 pages) | 460s | 15.59 prod/s | 26.8 prod/req | 3 x429 | rate 0.61/s     
[69/307 leaves] 7217 products | 304 req (301 pages) | 464s | 15.56 prod/s | 26.7 prod/req | 3 x429 | rate 0.61/s     
[70/307 leaves] 7309 products | 307 req (304 pages) | 469s | 15.60 prod/s | 26.8 prod/req | 3 x429 | rate 0.61/s     
[71/307 leaves] 7361 products | 309 req (306 pages) | 472s | 15.59 prod/s | 26.8 prod/req | 3 x429 | rate 0.66/s     
[72/307 leaves] 7393 products | 311 req (308 pages) | 475s | 15.57 prod/s | 26.7 prod/req | 3 x429 | rate 0.66/s     
[73/307 leaves] 7429 products | 312 req (309 pages) | 476s | 15.59 prod/s | 26.8 prod/req | 3 x429 | rate 0.66/s     
[74/307 leaves] 7518 products | 315 req (312 pages) | 481s | 15.64 prod/s | 26.9 prod/req | 3 x429 | rate 0.66/s     
[75/307 leaves] 7543 products | 316 req (313 pages) | 482s | 15.64 prod/s | 26.9 prod/req | 3 x429 | rate 0.66/s     
[76/307 leaves] 7640 products | 319 req (316 pages) | 487s | 15.69 prod/s | 27.0 prod/req | 3 x429 | rate 0.66/s     
[77/307 leaves] 7665 products | 321 req (318 pages) | 490s | 15.65 prod/s | 26.9 prod/req | 3 x429 | rate 0.66/s     
[78/307 leaves] 7707 products | 323 req (320 pages) | 493s | 15.63 prod/s | 26.9 prod/req | 3 x429 | rate 0.66/s     
[79/307 leaves] 7926 products | 332 req (329 pages) | 506s | 15.65 prod/s | 27.0 prod/req | 3 x429 | rate 0.66/s     
[80/307 leaves] 7978 products | 334 req (331 pages) | 509s | 15.66 prod/s | 27.0 prod/req | 3 x429 | rate 0.72/s     
[81/307 leaves] 8407 products | 351 req (347 pages) | 535s | 15.70 prod/s | 27.3 prod/req | 4 x429 | rate 0.57/s     
[82/307 leaves] 8427 products | 353 req (349 pages) | 539s | 15.64 prod/s | 27.2 prod/req | 4 x429 | rate 0.57/s     
[83/307 leaves] 8479 products | 355 req (351 pages) | 543s | 15.63 prod/s | 27.3 prod/req | 4 x429 | rate 0.57/s     
[84/307 leaves] 8650 products | 358 req (354 pages) | 548s | 15.79 prod/s | 27.6 prod/req | 4 x429 | rate 0.57/s     
[85/307 leaves] 8679 products | 359 req (355 pages) | 549s | 15.80 prod/s | 27.6 prod/req | 4 x429 | rate 0.57/s     
[86/307 leaves] 8703 products | 360 req (356 pages) | 551s | 15.79 prod/s | 27.6 prod/req | 4 x429 | rate 0.57/s     
[87/307 leaves] 8765 products | 362 req (358 pages) | 555s | 15.80 prod/s | 27.6 prod/req | 4 x429 | rate 0.57/s     
[88/307 leaves] 8779 products | 364 req (360 pages) | 558s | 15.73 prod/s | 27.5 prod/req | 4 x429 | rate 0.57/s     
[89/307 leaves] 9033 products | 369 req (365 pages) | 567s | 15.93 prod/s | 28.0 prod/req | 4 x429 | rate 0.57/s     
[90/307 leaves] 9170 products | 374 req (370 pages) | 575s | 15.94 prod/s | 28.2 prod/req | 4 x429 | rate 0.62/s     
[91/307 leaves] 9170 products | 375 req (371 pages) | 577s | 15.90 prod/s | 28.1 prod/req | 4 x429 | rate 0.62/s     
[92/307 leaves] 9299 products | 378 req (374 pages) | 582s | 15.99 prod/s | 28.2 prod/req | 4 x429 | rate 0.62/s     
[93/307 leaves] 9318 products | 380 req (376 pages) | 585s | 15.93 prod/s | 28.1 prod/req | 4 x429 | rate 0.62/s     
[94/307 leaves] 9479 products | 385 req (381 pages) | 593s | 15.99 prod/s | 28.5 prod/req | 4 x429 | rate 0.62/s     
[95/307 leaves] 9479 products | 386 req (382 pages) | 595s | 15.94 prod/s | 28.5 prod/req | 4 x429 | rate 0.62/s     
[96/307 leaves] 9513 products | 389 req (385 pages) | 599s | 15.87 prod/s | 28.5 prod/req | 4 x429 | rate 0.62/s     
[97/307 leaves] 9584 products | 390 req (386 pages) | 601s | 15.94 prod/s | 28.6 prod/req | 4 x429 | rate 0.62/s     
[98/307 leaves] 9694 products | 392 req (388 pages) | 604s | 16.04 prod/s | 28.9 prod/req | 4 x429 | rate 0.62/s     
[99/307 leaves] 9797 products | 395 req (391 pages) | 609s | 16.09 prod/s | 28.9 prod/req | 4 x429 | rate 0.62/s     
[100/307 leaves] 10170 products | 404 req (400 pages) | 623s | 16.33 prod/s | 29.7 prod/req | 4 x429 | rate 0.67/s     
[101/307 leaves] 10254 products | 406 req (402 pages) | 626s | 16.39 prod/s | 29.8 prod/req | 4 x429 | rate 0.67/s     
[102/307 leaves] 10402 products | 410 req (406 pages) | 632s | 16.47 prod/s | 30.0 prod/req | 4 x429 | rate 0.67/s     
[103/307 leaves] 10452 products | 412 req (408 pages) | 635s | 16.47 prod/s | 30.0 prod/req | 4 x429 | rate 0.67/s     
[104/307 leaves] 10487 products | 413 req (409 pages) | 636s | 16.49 prod/s | 30.0 prod/req | 4 x429 | rate 0.67/s     
[105/307 leaves] 10765 products | 419 req (415 pages) | 645s | 16.69 prod/s | 30.3 prod/req | 4 x429 | rate 0.67/s     
[106/307 leaves] 10812 products | 422 req (418 pages) | 650s | 16.64 prod/s | 30.2 prod/req | 4 x429 | rate 0.72/s     
[107/307 leaves] 11248 products | 433 req (428 pages) | 665s | 16.91 prod/s | 30.6 prod/req | 5 x429 | rate 0.58/s     
[108/307 leaves] 11281 products | 435 req (430 pages) | 669s | 16.87 prod/s | 30.5 prod/req | 5 x429 | rate 0.58/s     
[109/307 leaves] 11323 products | 436 req (431 pages) | 670s | 16.89 prod/s | 30.5 prod/req | 5 x429 | rate 0.58/s     
[110/307 leaves] 11655 products | 448 req (443 pages) | 691s | 16.87 prod/s | 30.8 prod/req | 5 x429 | rate 0.58/s     
[111/307 leaves] 11660 products | 450 req (445 pages) | 695s | 16.79 prod/s | 30.7 prod/req | 5 x429 | rate 0.58/s     
[112/307 leaves] 11695 products | 452 req (447 pages) | 698s | 16.75 prod/s | 30.7 prod/req | 5 x429 | rate 0.58/s     
[113/307 leaves] 11986 products | 458 req (453 pages) | 708s | 16.92 prod/s | 31.1 prod/req | 5 x429 | rate 0.62/s     
[114/307 leaves] 11986 products | 459 req (454 pages) | 710s | 16.89 prod/s | 31.0 prod/req | 5 x429 | rate 0.62/s     
[115/307 leaves] 12020 products | 461 req (456 pages) | 713s | 16.86 prod/s | 31.0 prod/req | 5 x429 | rate 0.62/s     
[116/307 leaves] 12472 products | 469 req (464 pages) | 726s | 17.18 prod/s | 31.5 prod/req | 5 x429 | rate 0.62/s     
[117/307 leaves] 12572 products | 475 req (470 pages) | 735s | 17.09 prod/s | 31.7 prod/req | 5 x429 | rate 0.62/s     
[118/307 leaves] 12817 products | 480 req (475 pages) | 744s | 17.24 prod/s | 32.0 prod/req | 5 x429 | rate 0.62/s     
[119/307 leaves] 12927 products | 483 req (478 pages) | 748s | 17.28 prod/s | 32.1 prod/req | 5 x429 | rate 0.67/s     
[120/307 leaves] 13052 products | 486 req (481 pages) | 753s | 17.34 prod/s | 32.1 prod/req | 5 x429 | rate 0.67/s     
[121/307 leaves] 13116 products | 489 req (484 pages) | 757s | 17.32 prod/s | 32.2 prod/req | 5 x429 | rate 0.67/s     
[122/307 leaves] 13130 products | 491 req (486 pages) | 760s | 17.27 prod/s | 32.2 prod/req | 5 x429 | rate 0.67/s     
[123/307 leaves] 13905 products | 515 req (510 pages) | 795s | 17.49 prod/s | 33.0 prod/req | 5 x429 | rate 0.73/s     
[124/307 leaves] 14090 products | 521 req (515 pages) | 805s | 17.50 prod/s | 33.2 prod/req | 6 x429 | rate 0.58/s     
[125/307 leaves] 14164 products | 522 req (516 pages) | 807s | 17.55 prod/s | 33.3 prod/req | 6 x429 | rate 0.58/s     
[126/307 leaves] 14749 products | 538 req (532 pages) | 834s | 17.68 prod/s | 33.5 prod/req | 6 x429 | rate 0.58/s     
[127/307 leaves] 14753 products | 539 req (533 pages) | 836s | 17.65 prod/s | 33.5 prod/req | 6 x429 | rate 0.58/s     
[128/307 leaves] 14836 products | 541 req (535 pages) | 839s | 17.68 prod/s | 33.6 prod/req | 6 x429 | rate 0.63/s     
[129/307 leaves] 14836 products | 542 req (536 pages) | 841s | 17.64 prod/s | 33.6 prod/req | 6 x429 | rate 0.63/s     
[130/307 leaves] 15445 products | 560 req (554 pages) | 870s | 17.76 prod/s | 33.9 prod/req | 6 x429 | rate 0.63/s     
[131/307 leaves] 15544 products | 564 req (558 pages) | 876s | 17.75 prod/s | 33.9 prod/req | 6 x429 | rate 0.63/s     
[132/307 leaves] 15581 products | 566 req (560 pages) | 879s | 17.73 prod/s | 34.0 prod/req | 6 x429 | rate 0.68/s     
[133/307 leaves] 15661 products | 571 req (565 pages) | 887s | 17.66 prod/s | 34.0 prod/req | 6 x429 | rate 0.68/s     
[134/307 leaves] 15791 products | 578 req (572 pages) | 897s | 17.61 prod/s | 34.1 prod/req | 6 x429 | rate 0.68/s     
[135/307 leaves] 15949 products | 583 req (577 pages) | 904s | 17.64 prod/s | 34.3 prod/req | 6 x429 | rate 0.68/s     
[136/307 leaves] 16045 products | 588 req (582 pages) | 912s | 17.60 prod/s | 34.2 prod/req | 6 x429 | rate 0.68/s     
[137/307 leaves] 16363 products | 599 req (592 pages) | 928s | 17.64 prod/s | 34.6 prod/req | 7 x429 | rate 0.59/s     
[138/307 leaves] 16520 products | 604 req (597 pages) | 936s | 17.66 prod/s | 34.6 prod/req | 7 x429 | rate 0.59/s     
[139/307 leaves] 16614 products | 609 req (602 pages) | 944s | 17.59 prod/s | 34.6 prod/req | 7 x429 | rate 0.59/s     
[140/307 leaves] 16649 products | 610 req (603 pages) | 946s | 17.60 prod/s | 34.6 prod/req | 7 x429 | rate 0.59/s     
[141/307 leaves] 17072 products | 617 req (610 pages) | 958s | 17.82 prod/s | 35.0 prod/req | 7 x429 | rate 0.59/s     
[142/307 leaves] 17113 products | 618 req (611 pages) | 960s | 17.83 prod/s | 35.0 prod/req | 7 x429 | rate 0.59/s     
[143/307 leaves] 17113 products | 619 req (612 pages) | 961s | 17.80 prod/s | 35.0 prod/req | 7 x429 | rate 0.59/s     
[144/307 leaves] 17146 products | 620 req (613 pages) | 963s | 17.80 prod/s | 35.0 prod/req | 7 x429 | rate 0.59/s     
[145/307 leaves] 17287 products | 627 req (620 pages) | 974s | 17.74 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[146/307 leaves] 17377 products | 632 req (625 pages) | 982s | 17.69 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[147/307 leaves] 17421 products | 633 req (626 pages) | 984s | 17.70 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[148/307 leaves] 17421 products | 634 req (627 pages) | 985s | 17.68 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[149/307 leaves] 17433 products | 635 req (628 pages) | 987s | 17.66 prod/s | 35.0 prod/req | 7 x429 | rate 0.63/s     
[150/307 leaves] 17591 products | 638 req (631 pages) | 992s | 17.73 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[151/307 leaves] 17614 products | 640 req (633 pages) | 995s | 17.70 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[152/307 leaves] 17635 products | 641 req (634 pages) | 997s | 17.69 prod/s | 35.1 prod/req | 7 x429 | rate 0.63/s     
[153/307 leaves] 17635 products | 642 req (635 pages) | 998s | 17.67 prod/s | 35.0 prod/req | 7 x429 | rate 0.63/s     
[154/307 leaves] 17635 products | 643 req (636 pages) | 1000s | 17.64 prod/s | 34.9 prod/req | 7 x429 | rate 0.63/s     
[155/307 leaves] 17890 products | 654 req (647 pages) | 1016s | 17.60 prod/s | 35.1 prod/req | 7 x429 | rate 0.68/s     
[156/307 leaves] 18080 products | 659 req (652 pages) | 1024s | 17.66 prod/s | 35.3 prod/req | 7 x429 | rate 0.68/s     
[157/307 leaves] 18202 products | 662 req (655 pages) | 1028s | 17.70 prod/s | 35.3 prod/req | 7 x429 | rate 0.68/s     
[158/307 leaves] 18215 products | 664 req (657 pages) | 1031s | 17.67 prod/s | 35.3 prod/req | 7 x429 | rate 0.68/s     
[159/307 leaves] 18252 products | 665 req (658 pages) | 1033s | 17.67 prod/s | 35.3 prod/req | 7 x429 | rate 0.68/s     
[160/307 leaves] 18820 products | 680 req (672 pages) | 1056s | 17.83 prod/s | 35.7 prod/req | 8 x429 | rate 0.59/s     
[161/307 leaves] 18820 products | 681 req (673 pages) | 1057s | 17.80 prod/s | 35.6 prod/req | 8 x429 | rate 0.59/s     
[162/307 leaves] 18953 products | 685 req (677 pages) | 1064s | 17.81 prod/s | 35.8 prod/req | 8 x429 | rate 0.59/s     
[163/307 leaves] 19012 products | 687 req (679 pages) | 1068s | 17.81 prod/s | 35.8 prod/req | 8 x429 | rate 0.59/s     
[164/307 leaves] 19035 products | 688 req (680 pages) | 1069s | 17.80 prod/s | 35.8 prod/req | 8 x429 | rate 0.59/s     
[165/307 leaves] 19584 products | 703 req (695 pages) | 1094s | 17.90 prod/s | 36.2 prod/req | 8 x429 | rate 0.64/s     
[166/307 leaves] 19836 products | 709 req (701 pages) | 1104s | 17.97 prod/s | 36.4 prod/req | 8 x429 | rate 0.64/s     
[167/307 leaves] 19868 products | 710 req (702 pages) | 1105s | 17.98 prod/s | 36.4 prod/req | 8 x429 | rate 0.64/s     
[168/307 leaves] 19956 products | 714 req (706 pages) | 1111s | 17.96 prod/s | 36.4 prod/req | 8 x429 | rate 0.64/s     
[169/307 leaves] 20175 products | 721 req (713 pages) | 1122s | 17.98 prod/s | 36.5 prod/req | 8 x429 | rate 0.64/s     
[170/307 leaves] 20199 products | 723 req (715 pages) | 1126s | 17.94 prod/s | 36.5 prod/req | 8 x429 | rate 0.64/s     
[171/307 leaves] 20619 products | 733 req (725 pages) | 1140s | 18.08 prod/s | 36.9 prod/req | 8 x429 | rate 0.69/s     
[172/307 leaves] 21111 products | 747 req (738 pages) | 1162s | 18.17 prod/s | 37.2 prod/req | 9 x429 | rate 0.55/s     
[173/307 leaves] 21210 products | 750 req (741 pages) | 1167s | 18.17 prod/s | 37.3 prod/req | 9 x429 | rate 0.55/s     
[174/307 leaves] 21421 products | 760 req (751 pages) | 1185s | 18.07 prod/s | 37.3 prod/req | 9 x429 | rate 0.55/s     
[175/307 leaves] 21576 products | 765 req (756 pages) | 1195s | 18.06 prod/s | 37.4 prod/req | 9 x429 | rate 0.55/s     
[176/307 leaves] 21770 products | 770 req (761 pages) | 1203s | 18.09 prod/s | 37.4 prod/req | 9 x429 | rate 0.60/s     
[177/307 leaves] 21975 products | 778 req (769 pages) | 1217s | 18.06 prod/s | 37.6 prod/req | 9 x429 | rate 0.60/s     
[178/307 leaves] 21975 products | 779 req (770 pages) | 1218s | 18.04 prod/s | 37.6 prod/req | 9 x429 | rate 0.60/s     
[179/307 leaves] 22118 products | 788 req (779 pages) | 1234s | 17.93 prod/s | 37.5 prod/req | 9 x429 | rate 0.60/s     
[180/307 leaves] 22198 products | 792 req (783 pages) | 1240s | 17.90 prod/s | 37.5 prod/req | 9 x429 | rate 0.60/s     
[181/307 leaves] 22476 products | 809 req (800 pages) | 1267s | 17.74 prod/s | 37.6 prod/req | 9 x429 | rate 0.64/s     
[182/307 leaves] 22476 products | 811 req (802 pages) | 1270s | 17.70 prod/s | 37.5 prod/req | 9 x429 | rate 0.64/s     
[183/307 leaves] 22726 products | 828 req (819 pages) | 1295s | 17.55 prod/s | 37.6 prod/req | 9 x429 | rate 0.69/s     
[184/307 leaves] 22799 products | 832 req (823 pages) | 1301s | 17.52 prod/s | 37.6 prod/req | 9 x429 | rate 0.69/s     
[185/307 leaves] 22888 products | 835 req (826 pages) | 1305s | 17.53 prod/s | 37.7 prod/req | 9 x429 | rate 0.69/s     
[186/307 leaves] 23445 products | 880 req (870 pages) | 1377s | 17.03 prod/s | 38.0 prod/req | 10 x429 | rate 0.65/s     
[187/307 leaves] 23467 products | 885 req (875 pages) | 1385s | 16.95 prod/s | 38.0 prod/req | 10 x429 | rate 0.65/s     
[188/307 leaves] 23467 products | 887 req (877 pages) | 1388s | 16.91 prod/s | 38.0 prod/req | 10 x429 | rate 0.65/s     
[189/307 leaves] 23610 products | 894 req (884 pages) | 1398s | 16.88 prod/s | 38.1 prod/req | 10 x429 | rate 0.70/s     
[190/307 leaves] 23610 products | 896 req (886 pages) | 1401s | 16.85 prod/s | 38.0 prod/req | 10 x429 | rate 0.70/s     
[191/307 leaves] 23642 products | 897 req (887 pages) | 1403s | 16.85 prod/s | 38.0 prod/req | 10 x429 | rate 0.70/s     
[192/307 leaves] 23842 products | 904 req (894 pages) | 1413s | 16.87 prod/s | 38.3 prod/req | 10 x429 | rate 0.70/s     
[193/307 leaves] 23846 products | 906 req (896 pages) | 1416s | 16.84 prod/s | 38.3 prod/req | 10 x429 | rate 0.70/s     
[194/307 leaves] 23868 products | 909 req (899 pages) | 1420s | 16.81 prod/s | 38.4 prod/req | 10 x429 | rate 0.70/s     
[195/307 leaves] 23900 products | 911 req (901 pages) | 1423s | 16.80 prod/s | 38.4 prod/req | 10 x429 | rate 0.70/s     
[196/307 leaves] 23900 products | 912 req (902 pages) | 1424s | 16.78 prod/s | 38.4 prod/req | 10 x429 | rate 0.70/s     
[197/307 leaves] 23900 products | 913 req (903 pages) | 1426s | 16.76 prod/s | 38.4 prod/req | 10 x429 | rate 0.70/s     
[198/307 leaves] 23900 products | 914 req (904 pages) | 1427s | 16.75 prod/s | 38.4 prod/req | 10 x429 | rate 0.70/s     
[199/307 leaves] 23900 products | 916 req (906 pages) | 1430s | 16.71 prod/s | 38.3 prod/req | 10 x429 | rate 0.70/s     
[200/307 leaves] 23911 products | 921 req (910 pages) | 1438s | 16.63 prod/s | 38.3 prod/req | 11 x429 | rate 0.60/s     
[201/307 leaves] 23962 products | 926 req (915 pages) | 1445s | 16.58 prod/s | 38.2 prod/req | 11 x429 | rate 0.60/s     
[202/307 leaves] 24671 products | 942 req (931 pages) | 1472s | 16.76 prod/s | 38.8 prod/req | 11 x429 | rate 0.60/s     
[203/307 leaves] 24927 products | 952 req (941 pages) | 1488s | 16.76 prod/s | 38.9 prod/req | 11 x429 | rate 0.65/s     
[204/307 leaves] 25393 products | 971 req (960 pages) | 1517s | 16.74 prod/s | 39.0 prod/req | 11 x429 | rate 0.71/s     
[205/307 leaves] 25393 products | 974 req (963 pages) | 1521s | 16.70 prod/s | 39.0 prod/req | 11 x429 | rate 0.71/s     
[206/307 leaves] 25410 products | 977 req (966 pages) | 1525s | 16.66 prod/s | 39.0 prod/req | 11 x429 | rate 0.71/s     
[207/307 leaves] 25498 products | 986 req (975 pages) | 1538s | 16.58 prod/s | 39.0 prod/req | 11 x429 | rate 0.71/s     
