product_id,super_category,category,shelf
571877,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
571914,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
571882,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
571898,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
541296,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
603091,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
703616,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
522051,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
522334,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
522048,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
531532,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
522329,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
522333,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
677761,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
675104,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
570642,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
570643,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
620087,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
571098,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
571041,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
187231,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
788959,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
787310,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
545043,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
586037,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
586038,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
586557,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
581462,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
589299,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
587724,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
587725,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
589320,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
589292,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
578892,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
578871,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
579079,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
579075,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
579076,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
